,id,postalCode,latitude,longitude,stationName,Borough
0,72,10019,40.76727216,-73.99392888,W 52 St & 11 Ave,Manhattan
1,173,10019,40.76064679,-73.98442659,Broadway & W 49 St,Manhattan
2,281,10019,40.7643971,-73.97371465,Grand Army Plaza & Central Park S,Manhattan
3,352,10019,40.76340613,-73.97722479,W 56 St & 6 Ave,Manhattan
4,422,10019,40.770513,-73.988038,W 59 St & 10 Ave,Manhattan
5,423,10019,40.76584941,-73.98690506,W 54 St & 9 Ave,Manhattan
6,447,10019,40.76370739,-73.9851615,8 Ave & W 52 St,Manhattan
7,449,10019,40.76461837,-73.98789473,W 52 St & 9 Ave,Manhattan
8,450,10019,40.76227205,-73.98788205,W 49 St & 8 Ave,Manhattan
9,457,10019,40.76695317,-73.98169333,Broadway & W 58 St,Manhattan
10,468,10019,40.7652654,-73.98192338,Broadway & W 55 St,Manhattan
11,469,10019,40.76344058,-73.98268129,Broadway & W 53 St,Manhattan
12,480,10019,40.76669671,-73.99061728,W 53 St & 10 Ave,Manhattan
13,500,10019,40.76228826,-73.98336183,Broadway & W 51 St,Manhattan
14,510,10019,40.7606597,-73.98042047,W 51 St & 6 Ave,Manhattan
15,513,10019,40.768254,-73.988639,W 56 St & 10 Ave,Manhattan
16,530,10019,40.771522,-73.990541,11 Ave & W 59 St,Manhattan
17,2006,10019,40.76590936,-73.97634151,Central Park S & 6 Ave,Manhattan
18,79,10013,40.71911552,-74.00666661,Franklin St & W Broadway,Manhattan
19,146,10013,40.71625008,-74.0091059,Hudson St & Reade St,Manhattan
20,248,10013,40.72185379,-74.00771779,Laight St & Hudson St,Manhattan
21,249,10013,40.71870987,-74.0090009,Harrison St & Hudson St,Manhattan
22,257,10013,40.71939226,-74.00247214,Lispenard St & Broadway,Manhattan
23,263,10013,40.71729,-73.996375,Elizabeth St & Hester St,Manhattan
24,268,10013,40.71910537,-73.99973337,Howard St & Centre St,Manhattan
25,276,10013,40.71748752,-74.0104554,Duane St & Greenwich St,Manhattan
26,320,10013,40.717571,-74.005549,Leonard St & Church St,Manhattan
27,328,10013,40.72405549,-74.00965965,Watts St & Greenwich St,Manhattan
28,329,10013,40.72043411,-74.01020609,Greenwich St & N Moore St,Manhattan
29,355,10013,40.71602118,-73.99974372,Bayard St & Baxter St,Manhattan
30,377,10013,40.72243797,-74.00566443,6 Ave & Canal St,Manhattan
31,2004,10013,40.724399,-74.004704,6 Ave & Broome St,Manhattan
32,2010,10013,40.72165481,-74.00234737,Grand St & Greene St,Manhattan
33,82,10038,40.71117416,-74.00016545,St James Pl & Pearl St,Manhattan
34,224,10038,40.71146364,-74.00552427,Spruce St & Nassau St,Manhattan
35,264,10038,40.70706456,-74.00731853,Maiden Ln & Pearl St,Manhattan
36,279,10038,40.707873,-74.00167,Peck Slip & Front St,Manhattan
37,306,10038,40.70823502,-74.00530063,Cliff St & Fulton St,Manhattan
38,308,10038,40.71307916,-73.99851193,St James Pl & Oliver St,Manhattan
39,315,10038,40.70355377,-74.00670227,South St & Gouverneur Ln,Manhattan
40,316,10038,40.70955958,-74.00653609,Fulton St & William St,Manhattan
41,376,10038,40.70862144,-74.00722156,John St & William St,Manhattan
42,83,11217,40.68382604,-73.97632328,Atlantic Ave & Fort Greene Pl,Brooklyn
43,243,11217,40.688226,-73.979382,Fulton St & Rockwell Pl,Brooklyn
44,274,11217,40.68691865,-73.976682,Lafayette Ave & Fort Greene Pl,Brooklyn
45,298,11217,40.68683208,-73.9796772,3 Ave & Schermerhorn St,Brooklyn
46,353,11217,40.68539567,-73.97431458,S Portland Ave & Hanson Pl,Brooklyn
47,467,11217,40.68312489,-73.97895137,Dean St & 4 Ave,Brooklyn
48,3222,11217,40.6851595999,-73.9771136641,Hanson Pl & St Felix St,Brooklyn
49,116,10011,40.74177603,-74.00149746,W 17 St & 8 Ave,Manhattan
50,168,10011,40.73971301,-73.99456405,W 18 St & 6 Ave,Manhattan
