,STATION_NAME,DATE,PRCP,SNWD,SNOW,Precip,dateCol
0,NEW YORK LAGUARDIA AIRPORT NY US,20130701,185,0,0,1,2013-07-01
1,NEW YORK LAGUARDIA AIRPORT NY US,20130702,15,0,0,1,2013-07-02
2,NEW YORK LAGUARDIA AIRPORT NY US,20130703,244,0,0,1,2013-07-03
3,NEW YORK LAGUARDIA AIRPORT NY US,20130704,0,0,0,0,2013-07-04
4,NEW YORK LAGUARDIA AIRPORT NY US,20130705,0,0,0,0,2013-07-05
5,NEW YORK LAGUARDIA AIRPORT NY US,20130706,0,0,0,0,2013-07-06
6,NEW YORK LAGUARDIA AIRPORT NY US,20130707,0,0,0,0,2013-07-07
7,NEW YORK LAGUARDIA AIRPORT NY US,20130708,0,0,0,0,2013-07-08
8,NEW YORK LAGUARDIA AIRPORT NY US,20130709,15,0,0,1,2013-07-09
9,NEW YORK LAGUARDIA AIRPORT NY US,20130710,5,0,0,1,2013-07-10
10,NEW YORK LAGUARDIA AIRPORT NY US,20130711,0,0,0,0,2013-07-11
11,NEW YORK LAGUARDIA AIRPORT NY US,20130712,56,0,0,1,2013-07-12
12,NEW YORK LAGUARDIA AIRPORT NY US,20130713,5,0,0,1,2013-07-13
13,NEW YORK LAGUARDIA AIRPORT NY US,20130714,0,0,0,0,2013-07-14
14,NEW YORK LAGUARDIA AIRPORT NY US,20130715,0,0,0,0,2013-07-15
15,NEW YORK LAGUARDIA AIRPORT NY US,20130716,0,0,0,0,2013-07-16
16,NEW YORK LAGUARDIA AIRPORT NY US,20130717,0,0,0,0,2013-07-17
17,NEW YORK LAGUARDIA AIRPORT NY US,20130718,0,0,0,0,2013-07-18
18,NEW YORK LAGUARDIA AIRPORT NY US,20130719,0,0,0,0,2013-07-19
19,NEW YORK LAGUARDIA AIRPORT NY US,20130720,0,0,0,0,2013-07-20
20,NEW YORK LAGUARDIA AIRPORT NY US,20130721,0,0,0,0,2013-07-21
21,NEW YORK LAGUARDIA AIRPORT NY US,20130722,69,0,0,1,2013-07-22
22,NEW YORK LAGUARDIA AIRPORT NY US,20130723,79,0,0,1,2013-07-23
23,NEW YORK LAGUARDIA AIRPORT NY US,20130724,0,0,0,0,2013-07-24
24,NEW YORK LAGUARDIA AIRPORT NY US,20130725,5,0,0,1,2013-07-25
25,NEW YORK LAGUARDIA AIRPORT NY US,20130726,0,0,0,0,2013-07-26
26,NEW YORK LAGUARDIA AIRPORT NY US,20130727,0,0,0,0,2013-07-27
27,NEW YORK LAGUARDIA AIRPORT NY US,20130728,33,0,0,1,2013-07-28
28,NEW YORK LAGUARDIA AIRPORT NY US,20130729,0,0,0,0,2013-07-29
29,NEW YORK LAGUARDIA AIRPORT NY US,20130730,0,0,0,0,2013-07-30
30,NEW YORK LAGUARDIA AIRPORT NY US,20130731,0,0,0,0,2013-07-31
31,NEW YORK LAGUARDIA AIRPORT NY US,20130801,127,0,0,1,2013-08-01
32,NEW YORK LAGUARDIA AIRPORT NY US,20130802,0,0,0,0,2013-08-02
33,NEW YORK LAGUARDIA AIRPORT NY US,20130803,3,0,0,1,2013-08-03
34,NEW YORK LAGUARDIA AIRPORT NY US,20130804,0,0,0,0,2013-08-04
35,NEW YORK LAGUARDIA AIRPORT NY US,20130805,0,0,0,0,2013-08-05
36,NEW YORK LAGUARDIA AIRPORT NY US,20130806,0,0,0,0,2013-08-06
37,NEW YORK LAGUARDIA AIRPORT NY US,20130807,3,0,0,1,2013-08-07
38,NEW YORK LAGUARDIA AIRPORT NY US,20130808,51,0,0,1,2013-08-08
39,NEW YORK LAGUARDIA AIRPORT NY US,20130809,18,0,0,1,2013-08-09
40,NEW YORK LAGUARDIA AIRPORT NY US,20130810,0,0,0,0,2013-08-10
41,NEW YORK LAGUARDIA AIRPORT NY US,20130811,0,0,0,0,2013-08-11
42,NEW YORK LAGUARDIA AIRPORT NY US,20130812,23,0,0,1,2013-08-12
43,NEW YORK LAGUARDIA AIRPORT NY US,20130813,188,0,0,1,2013-08-13
44,NEW YORK LAGUARDIA AIRPORT NY US,20130814,0,0,0,0,2013-08-14
45,NEW YORK LAGUARDIA AIRPORT NY US,20130815,0,0,0,0,2013-08-15
46,NEW YORK LAGUARDIA AIRPORT NY US,20130816,0,0,0,0,2013-08-16
47,NEW YORK LAGUARDIA AIRPORT NY US,20130817,0,0,0,0,2013-08-17
48,NEW YORK LAGUARDIA AIRPORT NY US,20130818,0,0,0,0,2013-08-18
49,NEW YORK LAGUARDIA AIRPORT NY US,20130819,0,0,0,0,2013-08-19
50,NEW YORK LAGUARDIA AIRPORT NY US,20130820,0,0,0,0,2013-08-20
51,NEW YORK LAGUARDIA AIRPORT NY US,20130821,0,0,0,0,2013-08-21
52,NEW YORK LAGUARDIA AIRPORT NY US,20130822,61,0,0,1,2013-08-22
53,NEW YORK LAGUARDIA AIRPORT NY US,20130823,0,0,0,0,2013-08-23
54,NEW YORK LAGUARDIA AIRPORT NY US,20130824,0,0,0,0,2013-08-24
55,NEW YORK LAGUARDIA AIRPORT NY US,20130825,0,0,0,0,2013-08-25
56,NEW YORK LAGUARDIA AIRPORT NY US,20130826,0,0,0,0,2013-08-26
57,NEW YORK LAGUARDIA AIRPORT NY US,20130827,3,0,0,1,2013-08-27
58,NEW YORK LAGUARDIA AIRPORT NY US,20130828,25,0,0,1,2013-08-28
59,NEW YORK LAGUARDIA AIRPORT NY US,20130829,0,0,0,0,2013-08-29
60,NEW YORK LAGUARDIA AIRPORT NY US,20130830,0,0,0,0,2013-08-30
61,NEW YORK LAGUARDIA AIRPORT NY US,20130831,0,0,0,0,2013-08-31
62,NEW YORK LAGUARDIA AIRPORT NY US,20130901,0,0,0,0,2013-09-01
63,NEW YORK LAGUARDIA AIRPORT NY US,20130902,229,0,0,1,2013-09-02
64,NEW YORK LAGUARDIA AIRPORT NY US,20130903,23,0,0,1,2013-09-03
65,NEW YORK LAGUARDIA AIRPORT NY US,20130904,0,0,0,0,2013-09-04
66,NEW YORK LAGUARDIA AIRPORT NY US,20130905,0,0,0,0,2013-09-05
67,NEW YORK LAGUARDIA AIRPORT NY US,20130906,0,0,0,0,2013-09-06
68,NEW YORK LAGUARDIA AIRPORT NY US,20130907,0,0,0,0,2013-09-07
69,NEW YORK LAGUARDIA AIRPORT NY US,20130908,0,0,0,0,2013-09-08
70,NEW YORK LAGUARDIA AIRPORT NY US,20130909,0,0,0,0,2013-09-09
71,NEW YORK LAGUARDIA AIRPORT NY US,20130910,0,0,0,0,2013-09-10
72,NEW YORK LAGUARDIA AIRPORT NY US,20130911,0,0,0,0,2013-09-11
73,NEW YORK LAGUARDIA AIRPORT NY US,20130912,323,0,0,1,2013-09-12
74,NEW YORK LAGUARDIA AIRPORT NY US,20130913,8,0,0,1,2013-09-13
75,NEW YORK LAGUARDIA AIRPORT NY US,20130914,0,0,0,0,2013-09-14
76,NEW YORK LAGUARDIA AIRPORT NY US,20130915,0,0,0,0,2013-09-15
77,NEW YORK LAGUARDIA AIRPORT NY US,20130916,5,0,0,1,2013-09-16
78,NEW YORK LAGUARDIA AIRPORT NY US,20130917,0,0,0,0,2013-09-17
79,NEW YORK LAGUARDIA AIRPORT NY US,20130918,0,0,0,0,2013-09-18
80,NEW YORK LAGUARDIA AIRPORT NY US,20130919,0,0,0,0,2013-09-19
